measurement_type,concurrency,run,capacity,accepted,reverted,settlement_batch_latency_ms,settlement_mean_latency_ms,throughput_req_s,total_gas,budget_total_fixed,budget_used_fixed,budget_reserved_fixed,budget_remaining_fixed,budget_invariant_violations
measured_local_hardhat,32,5,16,16,16,43.05929999984801,2.6912062499905005,371.5805877024586,2433984,16000000,16000000,0,0,0
measured_local_hardhat,32,6,16,16,16,42.31169999949634,2.6444812499685213,378.14599744728895,2433936,16000000,16000000,0,0,0
measured_local_hardhat,32,7,16,16,16,40.72729999944568,2.545456249965355,392.85687978868646,2433960,16000000,16000000,0,0,0
measured_local_hardhat,32,8,16,16,16,43.58380000013858,2.7239875000086613,367.10887990375153,2433936,16000000,16000000,0,0,0
measured_local_hardhat,32,9,16,16,16,44.60569999925792,2.78785624995362,358.69855198475045,2433912,16000000,16000000,0,0,0
measured_local_hardhat,32,10,16,16,16,42.134899999946356,2.6334312499966472,379.732715635266,2433960,16000000,16000000,0,0,0
measured_local_hardhat,32,11,16,16,16,44.09249999932945,2.7557812499580905,362.8735045697868,2433936,16000000,16000000,0,0,0
measured_local_hardhat,32,12,16,16,16,46.12569999974221,2.882856249983888,346.87820456035183,2433984,16000000,16000000,0,0,0
measured_local_hardhat,32,13,16,16,16,45.739400000311434,2.8587125000194646,349.80782432412883,2433840,16000000,16000000,0,0,0
measured_local_hardhat,32,14,16,16,16,45.20579999964684,2.8253624999779277,353.93688420788914,2434008,16000000,16000000,0,0,0
measured_local_hardhat,32,15,16,16,16,43.86299999989569,2.7414374999934807,364.7721314100278,2433984,16000000,16000000,0,0,0
measured_local_hardhat,32,16,16,16,16,43.959400000050664,2.7474625000031665,363.9722107212919,2433456,16000000,16000000,0,0,0
measured_local_hardhat,32,17,16,16,16,42.79029999952763,2.674393749970477,373.9165184674243,2433552,16000000,16000000,0,0,0
measured_local_hardhat,32,18,16,16,16,42.87170000001788,2.6794812500011176,373.20656750241596,2433912,16000000,16000000,0,0,0
measured_local_hardhat,32,19,16,16,16,38.9676000000909,2.435475000005681,410.5975220429967,2433984,16000000,16000000,0,0,0
measured_local_hardhat,32,20,16,16,16,43.5984000004828,2.724900000030175,366.9859444342641,2433960,16000000,16000000,0,0,0
measured_local_hardhat,32,21,16,16,16,42.0093999998644,2.625587499991525,380.867139260538,2433960,16000000,16000000,0,0,0
measured_local_hardhat,32,22,16,16,16,43.61629999987781,2.726018749992363,366.8353344975347,2433960,16000000,16000000,0,0,0
measured_local_hardhat,32,23,16,16,16,44.1421999996528,2.7588874999783,362.4649428466603,2433936,16000000,16000000,0,0,0
measured_local_hardhat,32,24,16,16,16,44.25009999983013,2.765631249989383,361.581103772905,2433528,16000000,16000000,0,0,0
measured_local_hardhat,32,25,16,16,16,44.582600000314415,2.786412500019651,358.8844078157658,2433936,16000000,16000000,0,0,0
measured_local_hardhat,32,26,16,16,16,41.68290000036359,2.6051812500227243,383.8504518606056,2433960,16000000,16000000,0,0,0
measured_local_hardhat,32,27,16,16,16,41.31529999990016,2.58220624999376,387.26573448670746,2433984,16000000,16000000,0,0,0
measured_local_hardhat,32,28,16,16,16,42.426799999549985,2.651674999971874,377.12012219091963,2433576,16000000,16000000,0,0,0
measured_local_hardhat,32,29,16,16,16,42.52630000002682,2.6578937500016764,376.23776345437784,2433960,16000000,16000000,0,0,0
