measurement_type,timestamp_utc,config_hash,configuration,run,is_warmup,rows,function_id,epsilon_requested,delta_requested,total_latency_ms,throughput_req_s,total_gas,proof_overhead_ms,attestation_overhead_ms,budget_overhead_ms,other_lifecycle_ms,process_startup_ms,process_cpu_time_ms,normalized_peak_cpu_percent,peak_working_set_bytes,peak_private_bytes,security_coverage_score,security_coverage_total,success,failure_status
locally_measured,2026-07-19T11:14:15.448Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,12,0,1000,2,0.5,0.00001,7.85190000012517,127.35770959692032,433332,0,0,0,7.85190000012517,0,0,0,1367285760,3296473088,1,8,1,
locally_measured,2026-07-19T11:14:16.534Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,12,0,1000,2,0.5,0.00001,603.1681000012904,1.6579126117542697,670089,282.7824999988079,0,0,320.38560000248253,0,2188,100,1367285760,3299377152,2,8,1,
locally_measured,2026-07-19T11:14:17.132Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,12,0,1000,2,0.5,0.00001,165.9660000000149,6.025330489376802,0,0,0,0.002,165.9640000000149,13.481999999999996,15.625,0,1367285760,1060372480,2,8,1,
locally_measured,2026-07-19T11:14:18.506Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,12,0,1000,2,0.5,0.00001,895.6484000012279,1.1165095588834069,1370230,253.34850000217557,75.724,3.20749999769032,563.3684000013619,52.75599999999999,1906.875,100,1367285760,3220578304,8,8,1,
locally_measured,2026-07-19T11:14:19.704Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,13,0,1000,2,0.5,0.00001,656.8991000000387,1.5223038058659861,0,0,74.767,0,582.1321000000387,59.995999999999995,545.875,3.1969794476923727,1367285760,3293634560,3,8,1,
locally_measured,2026-07-19T11:14:20.158Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,13,0,1000,2,0.5,0.00001,7.916400000452995,126.32004445742731,433332,0,0,0,7.916400000452995,0,47,1.4139393481345603,1367285760,3288981504,1,8,1,
locally_measured,2026-07-19T11:14:21.200Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,13,0,1000,2,0.5,0.00001,590.0830999985337,1.6946765633560508,670089,276.2634000014514,0,0,313.81969999708235,0,2001,100,1367285760,3292151808,2,8,1,
locally_measured,2026-07-19T11:14:21.807Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,13,0,1000,2,0.5,0.00001,174.2755999993533,5.738037912385388,0,0,0,0.001,174.27459999935328,14.094000000000005,15.625,0,1367285760,1077473280,2,8,1,
locally_measured,2026-07-19T11:14:23.326Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,13,0,1000,2,0.5,0.00001,1033.5263000000268,0.9675612512230932,1370278,228.47489999979734,126.692,3.533399999141693,674.8260000010878,57.64699999999999,1999.875,100,1367285760,3229863936,8,8,1,
locally_measured,2026-07-19T11:14:24.414Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,14,0,1000,2,0.5,0.00001,647.0790999997407,1.5454061180470837,0,0,84.99,0,562.0890999997407,62.809,609.5,100,1367285760,3308347392,3,8,1,
locally_measured,2026-07-19T11:14:24.991Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,14,0,1000,2,0.5,0.00001,9.821800000965595,101.81433137527628,433248,0,0,0,9.821800000965595,0,47,19.78557710827658,1367285760,3300995072,1,8,1,
locally_measured,2026-07-19T11:14:26.052Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,14,0,1000,2,0.5,0.00001,597.451400000602,1.6737763105065824,670113,285.09410000033677,0,0,312.35730000026524,0,2016,100,1367285760,3304243200,2,8,1,
locally_measured,2026-07-19T11:14:26.671Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,14,0,1000,2,0.5,0.00001,176.08140000142157,5.679191555677809,0,0,0,0.001,176.08040000142157,12.247999999999998,15.625,0,1367285760,1019981824,2,8,1,
locally_measured,2026-07-19T11:14:28.041Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,14,0,1000,2,0.5,0.00001,883.6945999991149,1.1316126634710697,1370290,234.42760000005364,72.264,3.3158999998122454,573.687099999249,54.277,2248.875,100,1367285760,3177684992,8,8,1,
locally_measured,2026-07-19T11:14:29.285Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,15,0,1000,2,0.5,0.00001,795.6493999995291,1.256834982846203,0,0,106.744,0,688.9053999995291,96.151,561.75,27.256868728322285,1367285760,3257614336,3,8,1,
locally_measured,2026-07-19T11:14:29.754Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,15,0,1000,2,0.5,0.00001,7.567099999636412,132.15102219450628,433284,0,0,0,7.567099999636412,0,16,0.4604835998752317,1367285760,3252916224,1,8,1,
locally_measured,2026-07-19T11:14:31.007Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,15,0,1000,2,0.5,0.00001,788.9177999999374,1.2675591804368964,670149,417.7074999976903,0,0,371.2103000022471,0,2453,100,1367285760,3256819712,2,8,1,
locally_measured,2026-07-19T11:14:31.660Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Local DP Ledger,15,0,1000,2,0.5,0.00001,176.6904000006616,5.659617047650894,0,0,0,0.002,176.6884000006616,11.843,15.625,0,1367285760,1087393792,2,8,1,
locally_measured,2026-07-19T11:14:33.039Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TrustCircuit,15,0,1000,2,0.5,0.00001,891.8515000008047,1.1212629008294517,1370278,237.14329999871552,83.985,3.260400000959635,567.4628000011295,55.65200000000001,1858.875,100,1367285760,3190190080,8,8,1,
locally_measured,2026-07-19T11:14:34.085Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,TEE-only,16,0,1000,2,0.5,0.00001,625.0241000000387,1.5999383063788069,0,0,75.79,0,549.2341000000388,57.072,421.875,2.82976735357875,1367285760,3267330048,3,8,1,
locally_measured,2026-07-19T11:14:34.552Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,Access Ledger,16,0,1000,2,0.5,0.00001,8.999500000849366,111.1172842830847,433332,0,0,0,8.999500000849366,0,16,23.518897431335326,1367285760,3263070208,1,8,1,
locally_measured,2026-07-19T11:14:35.785Z,ea091c96144cb733288085c0aa09e1893c72f7a689eb8649f66e8f0d052be86c,ZK Release,16,0,1000,2,0.5,0.00001,730.2896999996156,1.3693196001539203,670173,303.4051999989897,0,0,426.88450000062585,0,1922,100,1367285760,3266633728,2,8,1,
